n,i,algo1,algo2,algoR,algo4
4,0,9848,8165,70722,6025,
4,1,4552,3002,7823,2345,
4,2,4645,2890,7700,2305,
4,3,3586,2360,6114,1668,
4,4,3664,2172,6114,1754,
4,5,3512,2542,6126,1674,
4,6,3928,2151,5017,1533,
4,7,2930,2072,5129,1697,
4,8,3241,2041,5283,2228,
4,9,3228,2169,8540,1630,
4,10,3001,2073,4936,1490,
4,11,3145,2208,5015,1772,
4,12,3587,2067,5513,1519,
4,13,3964,2325,5468,1515,
4,14,3683,2127,8104,5930,
4,15,4182,2922,12695,5649,
4,16,4092,87322,6223,1760,
4,17,3280,1752,4538,1551,
4,18,2658,1870,5194,1355,
4,19,3211,1926,4269,1450,
4,20,2845,1879,4148,1427,
4,21,3012,1859,4199,1334,
4,22,2847,1799,4130,1364,
4,23,2965,1858,4015,1307,
4,24,3015,1832,4033,1427,
4,25,2908,1947,4391,1319,
4,26,2869,1928,4805,1120,
4,27,2326,1427,3232,1154,
4,28,3171,2377,4298,1398,
4,29,2906,2110,4420,1430,
4,30,6294,1796,6102,1542,
4,31,2960,1986,4158,1485,
4,32,3022,1955,3862,1393,
4,33,2652,1842,3990,1337,
4,34,2918,1916,4278,1377,
4,35,3043,1899,4204,1328,
4,36,3157,2482,8484,1554,
4,37,3187,2046,4326,1815,
4,38,3234,2226,4875,1634,
4,39,3116,2115,4233,1448,
4,40,3096,2120,4173,1715,
4,41,2901,2045,4170,1470,
4,42,3033,2040,5915,1619,
4,43,3173,2093,12800,40279,
4,44,3160,2152,4370,1461,
4,45,2930,1920,4237,1537,
4,46,2866,1995,6272,1520,
4,47,2966,1903,4204,1507,
4,48,2893,1892,4062,1620,
4,49,2618,1843,4162,1633,
4,50,3162,1940,4141,1484,
4,51,2990,1967,4270,1475,
4,52,2842,1741,4458,1729,
4,53,3596,2095,4200,1650,
4,54,3012,2021,6721,1529,
4,55,3078,1947,4409,1493,
4,56,3006,2208,4550,1585,
4,57,3184,2040,4590,1661,
4,58,2964,1865,4561,1627,
4,59,3087,2023,4461,1649,
4,60,5809,1984,4143,1620,
4,61,3153,1861,4388,1676,
4,62,2971,2054,6031,1631,
4,63,3034,1989,6163,1612,
4,64,3251,2048,4435,1538,
4,65,2964,2012,4299,1508,
4,66,2994,1836,4360,1553,
4,67,3079,2004,4333,1583,
4,68,3061,1879,4152,1499,
4,69,2823,1990,4363,1681,
4,70,2977,2007,4290,1516,
4,71,2988,1821,4513,1432,
4,72,3197,1795,4358,1490,
4,73,2954,7438,24309,1504,
4,74,2821,2001,46612,2645,
4,75,3683,1950,3447,1580,
4,76,3159,2694,4078,1647,
4,77,3231,1769,3378,1655,
4,78,3306,1735,1351721,1954,
4,79,2795,1914,3802,1463,
4,80,2921,1722,3634,1410,
4,81,2967,1696,3240,1488,
4,82,2943,1990,3355,1444,
4,83,3035,6140,7382,1535,
4,84,2635,1772,3355,1322,
4,85,3694,1939,3906,1505,
4,86,2685,1902,3207,1653,
4,87,2933,1812,3075,1387,
4,88,2815,1904,3246,1575,
4,89,2906,1971,3001,1385,
4,90,6875,1765,2851,1324,
4,91,2617,1751,2775,1406,
4,92,2911,1854,2912,1410,
4,93,2725,1880,2824,1462,
4,94,2828,1725,2893,1319,
4,95,2741,1663,2890,1484,
4,96,2885,1718,2972,1404,
4,97,2838,1733,2885,1425,
4,98,2742,1703,2757,1358,
4,99,2733,1888,2697,1518,
4,100,2652,1921,2993,1376,
4,101,2748,1726,2997,1514,
4,102,3067,1921,2936,1334,
4,103,2701,1583,2759,1465,
4,104,2581,1702,2869,1503,
4,105,2768,1813,2895,1425,
4,106,2805,1887,2968,1222,
4,107,2890,1598,2799,1288,
4,108,2674,1676,2683,1284,
4,109,3201,1531,2920,1325,
4,110,2744,1646,2760,1417,
4,111,2920,1647,3011,1255,
4,112,2929,1578,2761,1406,
4,113,2800,1656,2906,1417,
4,114,2964,1805,3754,1666,
4,115,3068,1999,3380,1575,
4,116,2874,1852,5442,1439,
4,117,3041,1558,2854,1542,
4,118,2818,1758,3222,1508,
4,119,2957,1824,3037,1379,
4,120,7009,1888,2959,1354,
4,121,2980,1916,3014,1605,
4,122,2918,1725,3109,1544,
4,123,2894,1780,2939,1456,
4,124,2759,1843,2905,1374,
4,125,2880,1752,3046,1396,
4,126,2763,1749,2876,2040,
4,127,4156,3435,3657,2956,
4,128,2918,1758,3461,1479,
4,129,2626,1637,2872,1846,
4,130,3360,2088,3139,1625,
4,131,2921,1780,2972,1441,
4,132,2695,1502,2558,1191,
4,133,3260,1948,3165,1398,
4,134,2575,1898,2938,1467,
4,135,2666,2625,3514,1798,
4,136,3001,1867,2997,1441,
4,137,2019,1517,2015,964,
4,138,2035,1185,1864,910,
4,139,1831,1276,1873,938,
4,140,1985,1226,1971,828,
4,141,1960,1165,1924,806,
4,142,1802,1159,1967,810,
4,143,1918,1096,1901,864,
4,144,1980,1135,1832,860,
4,145,2062,1072,1952,857,
4,146,1970,3808,1821,855,
4,147,3118,1881,3708,1522,
4,148,2877,1600,3014,1501,
4,149,2826,1762,3178,1502,
4,150,6065,1923,3318,1473,
4,151,2928,1959,2893,1330,
4,152,2449,1584,2429,1233,
4,153,3260,2048,3200,1525,
4,154,2955,1939,2881,1433,
4,155,2845,1558,2867,1477,
4,156,2816,1914,4750,1551,
4,157,2649,1577,2860,1381,
4,158,2535,1739,2604,1246,
4,159,2639,1452,5555,1372,
4,160,2727,1575,2860,1567,
4,161,2635,1548,2889,1502,
4,162,2696,1919,2832,1475,
4,163,2535,1686,2430,1248,
4,164,2826,1819,3021,1329,
4,165,2795,1710,2880,1386,
4,166,2876,1772,3099,1289,
4,167,2713,1595,2887,1274,
4,168,2831,1734,2954,1503,
4,169,3243,2010,3742,1616,
4,170,2996,2101,3336,1510,
4,171,2862,2603,15651,1604,
4,172,3087,2086,3636,1612,
4,173,2793,1920,3076,1506,
4,174,2679,1620,3160,1168,
4,175,2367,1820,2770,1234,
4,176,2476,1900,2830,1225,
4,177,2706,1756,2627,1121,
4,178,2889,1905,2891,1281,
4,179,2604,6031,2984,1365,
4,180,6069,1707,2932,1360,
4,181,2480,1588,2512,1458,
4,182,2781,1750,2756,1194,
4,183,2681,1693,2564,1343,
4,184,2567,1785,2885,1284,
4,185,2646,1810,2643,1017,
4,186,2657,1487,2638,2275,
4,187,3162,1976,3967,1509,
4,188,2825,1809,3089,1481,
4,189,2747,1560,2996,1364,
4,190,2915,1895,3143,1362,
4,191,2557,1795,3038,1439,
4,192,2758,1600,2906,1373,
4,193,2689,1625,3194,1312,
4,194,2683,1440,2812,993,
4,195,2444,1548,2707,1310,
4,196,2641,1697,2759,1415,
4,197,2451,1574,2529,1302,
4,198,2557,1633,2732,1322,
4,199,2400,1611,2616,1093,
4,200,2492,1638,2700,1258,
4,201,2541,1696,8840,1363,
